41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
48,blue-collar,single,secondary,no,312,yes,yes,cellular,3,feb,369,2,-1,0,unknown,no
55,technician,married,secondary,no,1938,no,yes,cellular,18,aug,193,1,386,3,success,yes
54,admin.,married,tertiary,no,59,yes,no,cellular,10,jul,268,1,-1,0,unknown,no
34,management,single,tertiary,no,2646,no,no,cellular,14,apr,142,1,-1,0,unknown,yes
49,admin.,divorced,secondary,no,1709,yes,no,unknown,12,jun,106,1,-1,0,unknown,no
55,services,married,secondary,no,752,no,no,unknown,17,jun,204,2,-1,0,unknown,no
31,blue-collar,single,secondary,no,-78,yes,yes,unknown,23,may,198,2,-1,0,unknown,no
58,unknown,married,primary,no,15,no,no,cellular,11,aug,57,2,-1,0,unknown,no
42,management,married,tertiary,no,386,yes,no,unknown,7,may,168,1,-1,0,unknown,no
55,technician,married,secondary,no,0,no,no,cellular,27,jul,506,2,-1,0,unknown,no
35,services,married,secondary,no,0,yes,no,telephone,18,jul,183,9,-1,0,unknown,no
31,technician,single,tertiary,no,665,yes,no,cellular,4,feb,156,1,-1,0,unknown,no
27,student,single,secondary,no,106,yes,no,telephone,10,jul,127,1,-1,0,unknown,no
31,management,married,tertiary,no,4015,yes,no,cellular,2,feb,95,2,241,3,other,no
30,services,married,secondary,no,-43,yes,yes,cellular,17,apr,79,1,325,2,other,no
61,self-employed,divorced,tertiary,no,52587,no,no,cellular,10,aug,290,1,-1,0,unknown,yes
32,admin.,single,secondary,no,1466,yes,no,unknown,12,may,264,2,-1,0,unknown,no
23,services,married,secondary,no,2211,yes,no,cellular,15,may,210,2,-1,0,unknown,no
39,management,divorced,tertiary,no,126,no,no,cellular,14,may,170,1,-1,0,unknown,no
